network,file,in_44_comparison,stations,routes,max_reach_km,extreme_a,extreme_b,feed_date,deposited_note,disclosure
Paris,paris,yes,303,16,22.3,Pointe du Lac,Asnières - Gennevilliers Les Courtilles,2022-04-15,"Has some lines that run in only one direction. Urban transfers (according to the map) are considered as the same station. Chatelet and Les Halles are left as separate stations as combining them does not add a transfer option. Saint Augustin is merged into Saint Lazare as that adds line 9 as a transfer option to Saint Lazare. Havre Caumartin and Opera are left split as combining those does not lead to extra, logical travel behavior. La Chapelle is merged into Gare du Nord to connect line 2 to Nord. St. Michel and Cluny are left unmerged as the only reason for their liason is the RER line which is not part of the metro network. Similar reasoning for not merge Gare de L'est and Chateau Landon. Austerlitz is merged into Lyon as that is a sensible urban transfer. Unclear why and edge between Porte d'Auteuil and Michel Ange Molitor exists (probably a late night only connection, according to Wikipedia). Anvers and Abesses are left unmerged as their connection includes a funiculaire which is not included.",
Prague,prague,yes,58,3,21.3,Zličín,Černý Most,2022-04-19,-,
Baltimore,baltimore,yes,14,1,20.2,OWINGS MILLS STATION (METRO),JOHNS HOPKINS STATION (METRO),2020-07-11,"There seems to be one train in both directions going from John Hopkins to Reistertown and then to Owings Mills directly, without stopping in-between. As there is only vehicle per day, these edges are deleted.",
Warsaw,warsaw,yes,33,2,19.9,Kabaty,Młociny,2022-04-19,"Because of data age, still missing Bernowo and Ulrychow on western part of red line.",
Vienna,vienna,yes,98,10,19.5,Leopoldau,Siebenhirten,02-06-2020,"Data contains a double schedule, one until 17/03/2020 and one from 16/05/2020. The P-space algorithm is manually adjusted to ensure the former schedule is taken only (as that one has the correct route colors).",
Bilbao,bilbao,yes,42,1,18.9,Plentzia,Ariz,2022-05-20,"Even though the system officially has two lines, the GTFS data treats them as a single line. The way the two lines are separated is using headsign (meaning there are eight headsigns for one line). Exception is created in the code such that headsign is taken as differentiator. Data does not entirely correspond with actual case/Gmaps, as from Ariz and Basauri at the end of L2, transfers to L1 are not taken correctly. As this is only deemed as a minor mistake, this is left unfixed.","absorbed conversion: line 1 north of city is ex-Euskotren Plentzia line, 1887 alignment"
Lille,lille,yes,60,2,18.1,Chu-Eurasante,C.H. Dron,04-02-2022,-,
Los Angeles,losangeles,yes,16,2,18.1,North Hollywood Station,Union Station - Metro Red & Purple Lines,2022-04-19,-,
Montreal,montreal,yes,67,4,17.5,Station Honoré-Beaugrand,Station Angrignon,2022-03-21,Station Outremont is missing as that is under construction at the current moment. ,
Kochi,kochi,no,21,1,17.1,Aluva,Ernakulam South,2019-10-29,"Petta, Alliance JN and SN JN are missing from the data (were not constructed yet).",
Philadelphia,philadelphia,yes,50,2,16.8,69th St Transportation Center - MFL EB,Frankford Transportation Center - MFL,2021-06-07,"8th street stations are merged. City hall and 15th are merged. System has express lines which are thus automatically added as extra edges in L-space. The broad-spur section on the broad street line is a bit confusing considering Fairmount and Girard. Fairmount stations are already merged, even though the map does not indicate them as such. This seems to be correct according to the official station information. There is an extra L-Space edge between the terminals of the Market-Frankford line. As this edge has a frequency of 1, it is deemed a last night train and deleted.",
Kobe,kobe,no,26,2,16.7,西神中央,三宮・花時計前,2006-12-01,"Data is over 16 years old. While the stations and lines are completely correct, the frequencies are most likely lower than currently.","note: 2006 file includes Hokushin Line, then a separate private railway, transferred to municipal subway 2020; used on EA side not as reference"
Nuremburg,nuremberg,yes,49,3,16.1,Fürth Hardhöhe,Nürnberg Langwasser Süd,2022-03-22,Colors overwritten manually as they were all programmed with same color.,
Amsterdam,amsterdam,yes,39,5,14.5,"Amsterdam, Station Sloterdijk","Amsterdam, Gein",19-04-2022,GTFS data manually split to remove all routes other than Amsterdam metro routes.,
Brussels,brussels,yes,59,4,14.2,STOCKEL,ERASME,2022-04-19,"Elisabeth and Simonis are combined into one station, even though the map does not explicitly mention this. Line 5 strangely extends into a portion of line 3 at the end of the day.",
Naples,naples,yes,28,2,13.9,GIANTURCO,POZZUOLI,2022-04-01,"Rainbow line not included in the data. As that falls outside of the municipal zone of Naples and is a very short line, this is deemed acceptable. Piazza Cavour was merged into Museo. San Giovanni-Barra seems to be missing for some reason",fails paper criteria: 11 of 28 stations are Trenitalia Line 2 on RFI national infrastructure
Budapest,budapest,yes,48,4,11.9,Újpest-Központ,Kelenföld vasútállomás,2016-11-04,"Older GTFS data was taken as reconstruction has taken out line 3, thus making the network incomplete. There are three disconnected stations but they're not actually on the map so unsure exactly what those are, they were deleted.",
Copenhagen,copenhagen,yes,39,4,11.8,Vanløse St. (Metro),Lufthavnen St. (Metro),2022-04-19,-,
Buenos Aires,buenosaires,no,78,6,11.3,Juan Manuel de Rosas,Constitucion,2021-12-31,"On line A, Alberti is only passed on westbound trains and Pasco on eastbound trains.",
Lisbon,lisbon,yes,50,10,10.9,ORIENTE,REBOLEIRA,2022-03-01,"Roma and Areiro are left unmerged as their merge on the map is related to commuter rail. Line directions are programmed as separate lines, red line has an extra line too. Seems to not cause any problems in P-space.",
Lyon,lyon,yes,40,8,10.5,Gare de Vaise,Gare de Vénissieux,2022-04-13,-,
Toulouse,toulouse,yes,37,2,9.8,Basso Cambo,Balma-Gramont,2022-04-15,-,
Turin,turin,yes,23,1,8.6,METRO FERMI,METRO BENGASI,2021-07-06,-,
Marseille,marseille,yes,29,2,7.5,La Rose,Rond-Point du Prado,2022-04-19,-,
Rennes,rennes,yes,15,1,6.2,J.F. Kennedy,La Poterie,2022-04-25,-,
Malaga,malaga,yes,17,2,5.6,Andalucía Tech,El Perchel,2021-01-11,-,
Genoa,genoa,yes,8,1,4.8,BRIGNOLE/METRO,BRIN/METRO,2022-04-12,-,
