city,route_id,line_local,line_en,operator,operator_source,technology,legal_class,mode,n_stations,is_loop,length_km_greatcircle,in_vehicle_min_sum,commercial_speed_proxy_kmh,trains_per_hour,headway_min,headway_source,constant_fill_share,speed_proxy_reliable,T1_uitp_line_criteria,T2_designated_urban_system,T3_scope,T3_basis,fare_flag,verdict,shares_line_with_routes,name_source,assignment_confidence,amap_line_id,note,technology_source,train_formation,capacity_per_train,capacity_class_national
Beijing,16,16号线,Line 16,北京京港地铁有限公司 / Beijing MTR Corporation Limited,memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,30,False,91.7,164.0,33.6,7.53,8.0,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 34 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000062236,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,17,19号线,Line 19,"北京市轨道交通运营管理有限公司 / Beijing Rail Transit Operation Management Co., Ltd",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,10,False,39.2,52.0,45.2,10.24,5.9,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 45 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000079004,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,18,大兴机场线,Daxing Airport Express,"北京市轨道交通运营管理有限公司 / Beijing Rail Transit Operation Management Co., Ltd",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel dedicated airport express,"城市轨道交通: 地铁系统, 机场专线 (GB/T 44413-2024 Table 4 row 1)",airport express,3,False,74.8,38.0,118.2,5.76,10.4,operator_timetable_departures,0.0,False,pass,pass,metropolitan (Tier B),"Daxing Airport Express, 160 km/h; proxy unusable (25 km link stored as 2 min)",premium separate fare,"include as Tier B (metropolitan scope), report in sensitivity sample",,Amap topology match 2026-08-21,high,900000076659,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,19,昌平线,Changping Line,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,20,False,81.2,118.0,41.3,11.24,5.3,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 41 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023118,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,20,房山线,Fangshan Line,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,16,False,58.4,90.0,39.0,9.71,6.2,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 39 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023092,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,21,亦庄线,Yizhuang Line,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,14,False,42.4,70.0,36.3,7.5,8.0,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 36 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023102,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,22,首都机场线,Capital Airport Express,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel dedicated airport express,"城市轨道交通: 地铁系统, 机场专线 (GB/T 44413-2024 Table 4 row 1)",airport express,5,False,85.0,124.0,41.1,4.63,13.0,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 41 km/h at or below 60,premium separate fare,"include, flagged: premium fare not integrated (UITP precedent: KLIA Express excluded)",,Amap topology match 2026-08-21,high,110100023096,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,24,燕房线,Yanfang Line,"北京市轨道交通运营管理有限公司 / Beijing Rail Transit Operation Management Co., Ltd",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,9,False,24.9,42.0,35.6,7.67,7.8,published_interval_band_section,0.0,True,pass,pass,urban,speed proxy 36 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000029622,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,25,S1线,S1 Line (maglev),"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),medium-low-speed maglev,城市轨道交通: 中低速磁浮系统 (GB/T 44413-2024 Table 4 row 8),maglev,8,False,17.7,46.0,23.1,6.74,8.9,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 23 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000069871,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,中运能 (1 to <3 万人次/h)
Beijing,27,17号线,Line 17,北京京港地铁有限公司 / Beijing MTR Corporation Limited,memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,7,False,30.7,38.0,48.4,7.24,8.3,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 48 km/h at or below 60,,include,28,Amap topology match 2026-08-21,medium,900000099933,"same line name as route(s) 28: direction copy, extension segment or fragment","GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,28,17号线,Line 17,北京京港地铁有限公司 / Beijing MTR Corporation Limited,memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,9,False,45.0,60.0,45.0,7.24,8.3,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 45 km/h at or below 60,,include,27,Amap topology match 2026-08-21,high,900000099933,"same line name as route(s) 27: direction copy, extension segment or fragment","GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,29,6号线,Line 6,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,34,False,103.2,170.0,36.4,10.66,5.6,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 36 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,110100023339,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Beijing,30,3号线,Line 3,"北京市地铁运营有限公司 / Beijing Subway Operation Co., Ltd (Beijing Mass Transit Railway Operation Corp.)",memo 16 section 8 correction (brief of 2026-08-23),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,10,False,26.4,48.0,32.9,9.79,6.1,operator_timetable_departures,0.0,True,pass,pass,urban,speed proxy 33 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000058113,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Busan,1,1호선,Line 1,Busan Transportation Corporation (부산교통공사),,steel-wheel metro,도시철도 (도시철도법 제2조),metro,40,False,75.4,153.7,29.4,9.32,6.4,gtfs_weekday_trips,,True,pass,pass,urban,speed proxy 29 km/h at or below 60,,include,,operator feed / hand-coded registry,exact,,,"도시철도법 제2조 designation, with per-line station and length figures from the operator pages recorded in analysis/10_JP_KR_CALIBRATION.md",,,
Busan,2,2호선,Line 2,Busan Transportation Corporation (부산교통공사),,steel-wheel metro,도시철도 (도시철도법 제2조),metro,43,False,86.7,170.1,30.6,8.84,6.8,gtfs_weekday_trips,,True,pass,pass,urban,speed proxy 31 km/h at or below 60,,include,,operator feed / hand-coded registry,exact,,extends to 양산 in Gyeongsangnam-do under the same 도시철도 designation,"도시철도법 제2조 designation, with per-line station and length figures from the operator pages recorded in analysis/10_JP_KR_CALIBRATION.md",,,
Busan,3,3호선,Line 3,Busan Transportation Corporation (부산교통공사),,steel-wheel metro,도시철도 (도시철도법 제2조),metro,17,False,34.8,68.1,30.6,8.37,7.2,gtfs_weekday_trips,,True,pass,pass,urban,speed proxy 31 km/h at or below 60,,include,,operator feed / hand-coded registry,exact,,,"도시철도법 제2조 designation, with per-line station and length figures from the operator pages recorded in analysis/10_JP_KR_CALIBRATION.md",,,
Busan,4,4호선,Line 4,Busan Transportation Corporation (부산교통공사),,rubber-tyred AGT / automated people mover,도시철도 (도시철도법 제2조),metro,14,False,22.7,50.0,27.2,8.05,7.5,gtfs_weekday_trips,,True,pass,pass,urban,speed proxy 27 km/h at or below 60,,include,,operator feed / hand-coded registry,exact,,"rubber-tyred K-AGT, fully segregated","Busan Transportation Corporation, 호선별 전동차소개 4호선, http://www2.humetro.busan.kr/homepage/cht/page/subLocation.do?menu_no=100105040204 (K-AGT 무인운전 경량전철, 고무차륜 with side guidance on concrete guideway; 17 trainsets, 102 cars) [accessed 2026-09-10]",6 cars,,
Busan,5,부산김해경전철,Busan-Gimhae Light Rail Transit,"Busan-Gimhae LRT Co. (부산김해경전철㈜, private BTO)",,steel-wheel driverless light metro,도시철도 (도시철도법 제2조),metro,21,False,42.7,80.8,31.7,10.37,5.8,gtfs_weekday_trips,,True,pass,pass,urban,speed proxy 32 km/h at or below 60,,include,,operator feed / hand-coded registry,exact,,"2-car rubber-tyred, fully elevated; 도시철도 designated jointly by Busan and Gimhae | v3 technology correction 2026-09-10: recorded as rubber-tyred AGT in v2. The published track gauge is standard 1,435 mm, which a rubber-tyred AGT does not have, so the line is steel wheel on steel rail. Verdict unchanged.","부산역사문화대전, 부산 김해 경전철, https://busan.grandculture.net/Contents/Contents?dataType=01&contents_id=GC04213681 (궤간 표준궤 1,435 mm, 21 stations, max speed 70 km/h). The standard track gauge establishes steel wheel on steel rail and is the basis of the v3 technology correction [accessed 2026-09-10]",,184 (304 crush),
Changchun,1,1号线,Line 1,,,steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,15,False,35.0,62.0,33.9,8.89,6.7,press_quoted_operator_notice,0.0,True,pass,pass,urban,speed proxy 34 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,220100020890,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Changchun,2,4号线,Line 4,长春市轨道交通集团第四分公司 / The fourth branch of Changchun Rail Transit Group,CPTOND-2025 company_cn via Amap line id (Wang et al. 2026),"steel-wheel light rail (轻轨), fully segregated",城市轨道交通: 轻轨系统 (GB/T 44413-2024 Table 4 row 2),metro,21,False,39.4,84.0,28.1,7.46,8.0,press_quoted_operator_notice,0.0,True,pass,pass,urban,speed proxy 28 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,220100020886,CAMET 2025: 轻轨,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,中运能 (1 to <3 万人次/h)
Changchun,3,6号线,Line 6,,,steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,22,False,54.4,90.0,36.2,8.25,7.3,press_quoted_operator_notice,0.0,True,pass,pass,urban,speed proxy 36 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000142958,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Changchun,4,8号线,Line 8,,,"steel-wheel light rail (轻轨), fully segregated",城市轨道交通: 轻轨系统 (GB/T 44413-2024 Table 4 row 2),metro,12,False,23.9,50.0,28.6,4.89,12.3,press_quoted_operator_notice,0.0,True,pass,pass,urban,speed proxy 29 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000080340,CAMET 2025: 轻轨,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,中运能 (1 to <3 万人次/h)
Changchun,5,3号线,Line 3,长春市公交集团 / Changchun Public Transport Group,CPTOND-2025 company_cn via Amap line id (Wang et al. 2026),"steel-wheel light rail (轻轨), exclusive right of way",城市轨道交通: 轻轨系统 (GB/T 44413-2024 Table 4 row 2),metro,34,False,66.4,134.0,29.7,8.25,7.3,press_quoted_operator_notice,0.0,True,pass,pass,urban,speed proxy 30 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,220100030615,"CAMET 2025: 轻轨 (68.20 km together with Lines 4 and 8). T1 reviewed 2026-09-12: retained. The former technology string ""fully segregated"" was withdrawn because it overstated the evidence and contradicted this row's own note. T1 tests whether the right of way is exclusive to the line, not whether the line is fully grade separated. EVIDENCE STILL TO BE ATTACHED: the grade-separation works and the current status of the remaining at-grade sections.","GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,中运能 (1 to <3 万人次/h)
Changchun,6,2号线,Line 2,,,steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,21,False,48.5,82.0,35.5,8.5,7.1,press_quoted_operator_notice,0.0,True,pass,pass,urban,speed proxy 35 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,900000049355,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
Changsha,1,1号线,Line 1,长沙轨道交通集团 / Changsha Rail Transit Group,CPTOND-2025 company_cn via Amap line id (Wang et al. 2026),steel-wheel metro,城市轨道交通: 地铁系统 (GB/T 44413-2024 Table 4 row 1),metro,25,False,65.5,112.0,35.1,8.48,7.1,published_peak_offpeak_only,0.404,True,pass,pass,urban,speed proxy 35 km/h at or below 60,,include,,Amap topology match 2026-08-21,high,430100020925,,"GB/T 44413-2024 clause 5.1 and Table 2 for the system type and capacity class, reconciled against CAMET 2025 annual report table 3 per-city mode kilometres (china_metro/data calibration/camet2025_table3_mode_km.csv)",,,大运能 (>=3 万人次/h)
